,fullName,activities
203,Gulf Islands National Seashore,"Biking, Boating, Camping, Backcountry Camping, Canoe or Kayak Camping, Car or Front Country Camping, Group Camping, RV Camping, Fishing, Saltwater Fishing, Food, Picnicking, Guided Tours, Self-Guided Tours - Walking, Self-Guided Tours - Auto, Boat Tour, Hands-On, Citizen Science, Hiking, Front-Country Hiking, Horse Trekking, Horseback Riding, Hunting and Gathering, Hunting, Living History, Historic Weapons Demonstration, Paddling, Canoeing, Kayaking, Stand Up Paddleboarding, Junior Ranger Program, SCUBA Diving, Snorkeling, Swimming, Saltwater Swimming, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store"
204,Hagerman Fossil Beds National Monument,"Auto and ATV, Scenic Driving, Biking, Road Biking, Food, Picnicking, Guided Tours, Self-Guided Tours - Walking, Hiking, Front-Country Hiking, Junior Ranger Program, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store"
205,Haleakalā National Park,"Camping, Backcountry Camping, Guided Tours, Bus/Shuttle Guided Tour, Hiking, Junior Ranger Program, Swimming, Shopping"
206,Hamilton Grange National Memorial,"Arts and Culture, Guided Tours, Hands-On, Living History, Junior Ranger Program, Park Film, Museum Exhibits"
207,Hampton National Historic Site,"Arts and Culture, Craft Demonstrations, Live Music, Food, Picnicking, Guided Tours, Self-Guided Tours - Walking, Hands-On, Arts and Crafts, Hiking, Living History, Junior Ranger Program, Wildlife Watching, Birdwatching, Museum Exhibits, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs"
208,Harmony Hall,"Wildlife Watching, Birdwatching"
209,Harpers Ferry National Historical Park,"Guided Tours, Hiking, Living History, Junior Ranger Program, Shopping, Bookstore and Park Store"
210,Harriet Tubman National Historical Park,"Food, Dining, Picnicking, Museum Exhibits, Shopping, Gift Shop and Souvenirs"
211,Harriet Tubman Underground Railroad National Historical Park,"Food, Picnicking, Guided Tours, Self-Guided Tours - Walking, Park Film, Museum Exhibits"
212,Harry S Truman National Historic Site,"Guided Tours, Self-Guided Tours - Walking, Junior Ranger Program, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store"
213,Hawai'i Volcanoes National Park,"Arts and Culture, Biking, Camping, Backcountry Camping, Car or Front Country Camping, Guided Tours, Hiking, Backcountry Hiking, Front-Country Hiking, Junior Ranger Program, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs"
214,Herbert Hoover National Historic Site,"Arts and Culture, Craft Demonstrations, Food, Picnicking, Guided Tours, Self-Guided Tours - Walking, Hiking, Front-Country Hiking, Junior Ranger Program, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits"
215,Historic Jamestowne Part of Colonial National Historical Park,"Guided Tours, Self-Guided Tours - Walking, Living History, First Person Interpretation, Junior Ranger Program"
216,Home Of Franklin D Roosevelt National Historic Site,"Compass and GPS, Geocaching, Guided Tours, Hands-On, Citizen Science, Junior Ranger Program"
217,Homestead National Historical Park,"Arts and Culture, Compass and GPS, Geocaching, Food, Picnicking, Guided Tours, Self-Guided Tours - Walking, Hiking, Hunting and Gathering, Gathering and Foraging, Living History, Junior Ranger Program, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping"
218,Honouliuli National Historic Site,"Shopping, Bookstore and Park Store"
219,Hopewell Culture National Historical Park,"Arts and Culture, Biking, Road Biking, Food, Dining, Guided Tours, Self-Guided Tours - Walking, Junior Ranger Program, Museum Exhibits, Shopping, Bookstore and Park Store"
220,Hopewell Furnace National Historic Site,"Arts and Culture, Craft Demonstrations, Cultural Demonstrations, Astronomy, Stargazing, Biking, Compass and GPS, Geocaching, Food, Picnicking, Guided Tours, Self-Guided Tours - Walking, Hands-On, Volunteer Vacation, Hiking, Horse Trekking, Horseback Riding, Hunting and Gathering, Gathering and Foraging, Living History, Junior Ranger Program, Skiing, Cross-Country Skiing, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs"
221,Horseshoe Bend National Military Park,"Arts and Culture, Craft Demonstrations, Cultural Demonstrations, Auto and ATV, Scenic Driving, Astronomy, Stargazing, Biking, Road Biking, Boating, Fishing, Freshwater Fishing, Food, Picnicking, Guided Tours, Self-Guided Tours - Walking, Self-Guided Tours - Auto, Bus/Shuttle Guided Tour, Hands-On, Arts and Crafts, Hiking, Front-Country Hiking, Horse Trekking, Horseback Riding, Living History, Reenactments, Historic Weapons Demonstration, Paddling, Canoeing, Kayaking, Junior Ranger Program, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs"
222,Hot Springs National Park,"Auto and ATV, Scenic Driving, Biking, Camping, Car or Front Country Camping, RV Camping, Fishing, Food, Dining, Picnicking, Guided Tours, Hiking, Junior Ranger Program, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs"
223,Hovenweep National Monument,"Astronomy, Stargazing, Camping, Hiking, Junior Ranger Program, Park Film, Shopping, Bookstore and Park Store"
224,Hubbell Trading Post National Historic Site,"Arts and Culture, Guided Tours, Junior Ranger Program, Shopping, Bookstore and Park Store"
225,Ice Age Floods National Geologic Trail,"Guided Tours, Self-Guided Tours - Walking, Self-Guided Tours - Auto"
226,Ice Age National Scenic Trail,"Camping, Backcountry Camping, Fishing, Hands-On, Volunteer Vacation, Hiking, Skiing, Cross-Country Skiing, Snowshoeing, Wildlife Watching, Birdwatching"
227,Independence National Historical Park,"Food, Guided Tours, Self-Guided Tours - Walking, Junior Ranger Program, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store"
228,Indiana Dunes National Park,"Arts and Culture, Cultural Demonstrations, Auto and ATV, Scenic Driving, Biking, Boating, Camping, RV Camping, Fishing, Food, Picnicking, Guided Tours, Self-Guided Tours - Walking, Self-Guided Tours - Auto, Hiking, Horse Trekking, Paddling, Canoeing, Kayaking, Stand Up Paddleboarding, Junior Ranger Program, Playground, Skiing, Cross-Country Skiing, Snow Play, Snowshoeing, Swimming, Freshwater Swimming, Wildlife Watching, Birdwatching, Park Film, Shopping, Bookstore and Park Store"
229,Isle Royale National Park,"Arts and Culture, Astronomy, Stargazing, Boating, Motorized Boating, Sailing, Boat Tour, Camping, Backcountry Camping, Canoe or Kayak Camping, Group Camping, Fishing, Freshwater Fishing, Food, Dining, Flying, Guided Tours, Boat Tour, Hiking, Backcountry Hiking, Front-Country Hiking, Off-Trail Permitted Hiking, Paddling, Canoeing, Canoe or Kayak Camping, Kayaking, Junior Ranger Program, SCUBA Diving, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs"
230,Iñupiat Heritage Center,"Arts and Culture, Hunting and Gathering"
231,James A Garfield National Historic Site,"Guided Tours, Self-Guided Tours - Walking, Living History, Reenactments, Park Film, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs"
232,Jean Lafitte National Historical Park and Preserve,"Arts and Culture, Craft Demonstrations, Cultural Demonstrations, Live Music, Fishing, Freshwater Fishing, Guided Tours, Self-Guided Tours - Walking, Hands-On, Arts and Crafts, Hunting and Gathering, Hunting, Living History, Historic Weapons Demonstration, First Person Interpretation, Junior Ranger Program, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs"
233,Jewel Cave National Monument,"Caving, Guided Tours, Hiking, Junior Ranger Program, Snowshoeing, Wildlife Watching, Birdwatching, Park Film, Shopping, Bookstore and Park Store"
234,Jimmy Carter National Historical Park,"Biking, Guided Tours, Self-Guided Tours - Walking, Junior Ranger Program, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store"
235,John Day Fossil Beds National Monument,"Hiking, Front-Country Hiking, Junior Ranger Program, Park Film, Museum Exhibits, Bookstore and Park Store"
236,John Fitzgerald Kennedy National Historic Site,"Guided Tours, Junior Ranger Program, Park Film, Museum Exhibits"
237,John Muir National Historic Site,"Guided Tours, Self-Guided Tours - Walking, Hiking, Junior Ranger Program, Wildlife Watching, Park Film, Museum Exhibits"
238,Johnstown Flood National Memorial,"Food, Picnicking, Guided Tours, Bus/Shuttle Guided Tour, Hiking, Backcountry Hiking, Junior Ranger Program, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store"
239,Joshua Tree National Park,"Auto and ATV, Scenic Driving, Astronomy, Stargazing, Biking, Camping, Backcountry Camping, Car or Front Country Camping, Horse Camping (see also Horse/Stock Use), Group Camping, Climbing, Rock Climbing, Food, Picnicking, Guided Tours, Self-Guided Tours - Auto, Hiking, Backcountry Hiking, Front-Country Hiking, Horse Trekking, Horse Camping (see also camping), Horseback Riding, Junior Ranger Program, Wildlife Watching, Birdwatching, Shopping, Bookstore and Park Store"
240,Juan Bautista de Anza National Historic Trail,"Guided Tours, Hiking, Horse Trekking, Horseback Riding, Living History, Reenactments, Junior Ranger Program, Park Film, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs"
241,Kalaupapa National Historical Park,"Guided Tours, Living History, Museum Exhibits"
242,Kaloko-Honokōhau National Historical Park,"Arts and Culture, Biking, Fishing, Saltwater Fishing, Guided Tours, Self-Guided Tours - Walking, Hiking, Front-Country Hiking, Junior Ranger Program, Wildlife Watching, Birdwatching, Park Film, Shopping, Bookstore and Park Store"
243,Katahdin Woods and Waters National Monument,"Biking, Fishing, Hiking, Hunting and Gathering, Hunting, Paddling, Canoeing, Kayaking, Skiing, Cross-Country Skiing, Snowmobiling, Snowshoeing, Wildlife Watching, Birdwatching"
244,Katmai National Park & Preserve,"Boating, Camping, Backcountry Camping, Canoe or Kayak Camping, Fishing, Fly Fishing, Food, Dining, Picnicking, Flying, Guided Tours, Hiking, Backcountry Hiking, Hunting and Gathering, Hunting, Paddling, Canoe or Kayak Camping, Junior Ranger Program, Wildlife Watching, Park Film, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs"
245,Kenai Fjords National Park,"Astronomy, Stargazing, Boating, Boat Tour, Camping, Backcountry Camping, Canoe or Kayak Camping, Car or Front Country Camping, Climbing, Mountain Climbing, Ice Climbing, Dog Sledding, Fishing, Freshwater Fishing, Fly Fishing, Saltwater Fishing, Food, Flying, Helicopter Flying, Fixed Wing Flying, Guided Tours, Boat Tour, Hiking, Backcountry Hiking, Front-Country Hiking, Paddling, Canoe or Kayak Camping, Kayaking, Junior Ranger Program, Skiing, Cross-Country Skiing, Snowmobiling, Snowshoeing, Wildlife Watching, Birdwatching, Park Film, Shopping, Bookstore and Park Store"
246,Kenilworth Park & Aquatic Gardens,"Arts and Culture, Craft Demonstrations, Cultural Demonstrations, Food, Picnicking, Guided Tours, Self-Guided Tours - Walking, Hiking, Junior Ranger Program, Wildlife Watching, Birdwatching, Shopping, Bookstore and Park Store"
247,Kennesaw Mountain National Battlefield Park,"Biking, Road Biking, Guided Tours, Self-Guided Tours - Walking, Self-Guided Tours - Auto, Hiking, Junior Ranger Program, Museum Exhibits"
248,Keweenaw National Historical Park,"Biking, Mountain Biking, Road Biking, Compass and GPS, Geocaching, Food, Guided Tours, Self-Guided Tours - Walking, Self-Guided Tours - Auto, Hiking, Backcountry Hiking, Front-Country Hiking, Junior Ranger Program, Park Film, Museum Exhibits"
249,Kings Mountain National Military Park,"Guided Tours, Self-Guided Tours - Walking, Living History, Junior Ranger Program, Park Film"
250,Klondike Gold Rush - Seattle Unit National Historical Park,"Guided Tours, Self-Guided Tours - Walking, Living History, Park Film, Museum Exhibits"
251,Klondike Gold Rush National Historical Park,"Arts and Culture, Camping, Backcountry Camping, Car or Front Country Camping, Group Camping, RV Camping, Climbing, Mountain Climbing, Food, Picnicking, Guided Tours, Self-Guided Tours - Walking, Hiking, Backcountry Hiking, Front-Country Hiking, Junior Ranger Program, Playground, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs"
252,Knife River Indian Villages National Historic Site,"Arts and Culture, Craft Demonstrations, Cultural Demonstrations, Live Music, Compass and GPS, Geocaching, Fishing, Freshwater Fishing, Food, Picnicking, Guided Tours, Self-Guided Tours - Walking, Hands-On, Citizen Science, Arts and Crafts, Hiking, Junior Ranger Program, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store"
253,Kobuk Valley National Park,"Boating, Camping, Backcountry Camping, Fishing, Freshwater Fishing, Flying, Fixed Wing Flying, Hands-On, Arts and Crafts, Hiking, Backcountry Hiking, Paddling, Canoeing, Canoe or Kayak Camping, Junior Ranger Program, Wildlife Watching, Museum Exhibits, Shopping, Bookstore and Park Store"
254,Korean War Veterans Memorial,"Guided Tours, Self-Guided Tours - Walking, Junior Ranger Program"
255,LBJ Memorial Grove on the Potomac,"Biking, Road Biking, Hiking, Off-Trail Permitted Hiking, Paddling, Canoeing, Kayaking, Wildlife Watching, Birdwatching"
256,Lake Clark National Park & Preserve,"Astronomy, Stargazing, Biking, Boating, Motorized Boating, Camping, Backcountry Camping, Canoe or Kayak Camping, Climbing, Mountain Climbing, Compass and GPS, Orienteering, Fishing, Freshwater Fishing, Fly Fishing, Flying, Fixed Wing Flying, Guided Tours, Self-Guided Tours - Walking, Hiking, Backcountry Hiking, Front-Country Hiking, Off-Trail Permitted Hiking, Hunting and Gathering, Hunting, Paddling, Canoeing, Canoe or Kayak Camping, Kayaking, Stand Up Paddleboarding, Junior Ranger Program, Skiing, Cross-Country Skiing, Snow Play, Snowshoeing, Wildlife Watching, Birdwatching, Shopping, Bookstore and Park Store"
257,Lake Mead National Recreation Area,"Auto and ATV, Scenic Driving, Biking, Road Biking, Boating, Motorized Boating, Sailing, Jet Skiing, Boat Tour, Camping, Backcountry Camping, Car or Front Country Camping, Horse Camping (see also Horse/Stock Use), Group Camping, RV Camping, Fishing, Freshwater Fishing, Food, Dining, Picnicking, Flying, Guided Tours, Self-Guided Tours - Walking, Self-Guided Tours - Auto, Bus/Shuttle Guided Tour, Boat Tour, Hiking, Backcountry Hiking, Front-Country Hiking, Horse Trekking, Horseback Riding, Hunting and Gathering, Hunting, Paddling, Canoeing, Kayaking, Stand Up Paddleboarding, Junior Ranger Program, SCUBA Diving, Snorkeling, Swimming, Freshwater Swimming, Water Skiing, Wildlife Watching, Park Film, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs"
258,Lake Meredith National Recreation Area,"Auto and ATV, ATV Off-Roading, Biking, Mountain Biking, Boating, Camping, Fishing, Food, Guided Tours, Hiking, Horse Trekking, Horseback Riding, Hunting and Gathering, Hunting, Paddling, Canoeing, Kayaking, Junior Ranger Program, Shopping, Bookstore and Park Store"
259,Lake Roosevelt National Recreation Area,"Boating, Camping, Canoe or Kayak Camping, Car or Front Country Camping, Group Camping, RV Camping, Fishing, Food, Picnicking, Guided Tours, Self-Guided Tours - Walking, Hands-On, Citizen Science, Hiking, Hunting and Gathering, Hunting, Paddling, Canoe or Kayak Camping, Junior Ranger Program, Swimming, Park Film, Museum Exhibits"
260,Lassen Volcanic National Park,"Auto and ATV, Scenic Driving, Astronomy, Stargazing, Biking, Road Biking, Boating, Camping, Backcountry Camping, Car or Front Country Camping, Horse Camping (see also Horse/Stock Use), Group Camping, RV Camping, Compass and GPS, Geocaching, Fishing, Freshwater Fishing, Fly Fishing, Food, Dining, Picnicking, Guided Tours, Self-Guided Tours - Auto, Hiking, Backcountry Hiking, Front-Country Hiking, Horse Trekking, Horseback Riding, Living History, Paddling, Canoeing, Kayaking, Stand Up Paddleboarding, Junior Ranger Program, Skiing, Cross-Country Skiing, Snow Play, Snowshoeing, Swimming, Freshwater Swimming, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs"
261,Lava Beds National Monument,"Auto and ATV, Scenic Driving, Astronomy, Stargazing, Biking, Road Biking, Camping, Backcountry Camping, Car or Front Country Camping, Group Camping, RV Camping, Caving, Food, Picnicking, Guided Tours, Self-Guided Tours - Walking, Hiking, Backcountry Hiking, Front-Country Hiking, Skiing, Cross-Country Skiing, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store"
262,Lewis & Clark National Historic Trail,"Auto and ATV, Scenic Driving, Biking, Boating, Fishing, Guided Tours, Hiking, Living History, Junior Ranger Program, Snowshoeing, Wildlife Watching, Museum Exhibits, Shopping, Bookstore and Park Store"
263,Lewis and Clark National Historical Park,"Fishing, Food, Picnicking, Guided Tours, Self-Guided Tours - Walking, Hiking, Front-Country Hiking, Hunting and Gathering, Gathering and Foraging, Living History, Historic Weapons Demonstration, Paddling, Kayaking, Junior Ranger Program, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs"
264,Lincoln Boyhood National Memorial,"Arts and Culture, Cultural Demonstrations, Biking, Road Biking, Guided Tours, Self-Guided Tours - Walking, Hiking, Front-Country Hiking, Living History, Junior Ranger Program, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store"
265,Lincoln Home National Historic Site,"Arts and Culture, Cultural Demonstrations, Guided Tours, Self-Guided Tours - Walking, Hands-On, Arts and Crafts, Living History, Reenactments, Historic Weapons Demonstration, First Person Interpretation, Junior Ranger Program, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs"
266,Lincoln Memorial,"Guided Tours, Self-Guided Tours - Walking, Junior Ranger Program, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs"
267,Little Bighorn Battlefield National Monument,"Guided Tours, Self-Guided Tours - Walking, Self-Guided Tours - Auto, Junior Ranger Program, Museum Exhibits, Shopping, Bookstore and Park Store"
268,Little River Canyon National Preserve,"Auto and ATV, Scenic Driving, Biking, Mountain Biking, Road Biking, Climbing, Rock Climbing, Fishing, Freshwater Fishing, Fly Fishing, Food, Picnicking, Hiking, Backcountry Hiking, Front-Country Hiking, Horse Trekking, Horseback Riding, Hunting and Gathering, Hunting, Paddling, Canoeing, Kayaking, Junior Ranger Program, Swimming, Freshwater Swimming, Wildlife Watching, Birdwatching, Shopping, Gift Shop and Souvenirs"
269,Little Rock Central High School National Historic Site,"Arts and Culture, Live Music, Guided Tours, Self-Guided Tours - Walking, Self-Guided Tours - Auto, Junior Ranger Program, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs"
270,Longfellow House Washington's Headquarters National Historic Site,"Arts and Culture, Live Music, Guided Tours, Hands-On, Arts and Crafts, Junior Ranger Program, Museum Exhibits"
271,Lowell National Historical Park,"Arts and Culture, Craft Demonstrations, Cultural Demonstrations, Live Music, Boating, Boat Tour, Guided Tours, Self-Guided Tours - Walking, Boat Tour, Hands-On, Arts and Crafts, Junior Ranger Program, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs"
272,Lower Delaware National Wild and Scenic River,"Auto and ATV, Scenic Driving, Boating, Camping, Fishing, Food, Picnicking, Hiking, Paddling, Junior Ranger Program"
273,Lower East Side Tenement Museum National Historic Site,
274,Lyndon B Johnson National Historical Park,"Guided Tours, Self-Guided Tours - Auto, Junior Ranger Program, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store"
275,Maggie L Walker National Historic Site,"Guided Tours, Self-Guided Tours - Walking, Shopping, Bookstore and Park Store"
276,Maine Acadian Culture,"Arts and Culture, Fishing, Food, Museum Exhibits"
277,Mammoth Cave National Park,"Astronomy, Stargazing, Biking, Boating, Camping, Backcountry Camping, Canoe or Kayak Camping, Car or Front Country Camping, Horse Camping (see also Horse/Stock Use), Group Camping, Caving, Fishing, Freshwater Fishing, Food, Dining, Picnicking, Guided Tours, Hands-On, Hiking, Backcountry Hiking, Front-Country Hiking, Horse Trekking, Horse Camping (see also camping), Horseback Riding, Paddling, Canoeing, Canoe or Kayak Camping, Kayaking, Shopping, Bookstore and Park Store"
278,Manassas National Battlefield Park,"Fishing, Guided Tours, Hiking, Horse Trekking, Horseback Riding, Living History, Junior Ranger Program, Park Film, Museum Exhibits"
279,Manhattan Project National Historical Park,"Guided Tours, Junior Ranger Program, Museum Exhibits"
280,Manzanar National Historic Site,"Biking, Road Biking, Food, Picnicking, Guided Tours, Self-Guided Tours - Walking, Self-Guided Tours - Auto, Bus/Shuttle Guided Tour, Junior Ranger Program, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store"
281,Marsh - Billings - Rockefeller National Historical Park,"Arts and Culture, Craft Demonstrations, Compass and GPS, Food, Picnicking, Guided Tours, Self-Guided Tours - Walking, Hands-On, Citizen Science, Arts and Crafts, Hiking, Front-Country Hiking, Horse Trekking, Horseback Riding, Paddling, Canoeing, Kayaking, Stand Up Paddleboarding, Junior Ranger Program, Skiing, Cross-Country Skiing, Snow Play, Snowshoeing, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs"
282,"Martin Luther King, Jr. Memorial","Guided Tours, Self-Guided Tours - Walking, Junior Ranger Program, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs"
283,"Martin Luther King, Jr. National Historical Park","Arts and Culture, Guided Tours, Junior Ranger Program, Museum Exhibits, Shopping, Bookstore and Park Store"
284,Martin Van Buren National Historic Site,"Arts and Culture, Compass and GPS, Geocaching, Food, Picnicking, Guided Tours, Self-Guided Tours - Walking, Junior Ranger Program, Wildlife Watching, Birdwatching, Park Film, Shopping, Bookstore and Park Store"
285,Mary McLeod Bethune Council House National Historic Site,"Guided Tours, Self-Guided Tours - Walking, Junior Ranger Program, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store"
286,Medgar and Myrlie Evers Home National Monument,
287,Mesa Verde National Park,"Auto and ATV, Astronomy, Stargazing, Biking, Road Biking, Camping, Food, Guided Tours, Self-Guided Tours - Walking, Self-Guided Tours - Auto, Hiking, Junior Ranger Program, Skiing, Cross-Country Skiing, Snowshoeing, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store"
288,Mill Springs Battlefield National Monument,"Guided Tours, Self-Guided Tours - Auto, Museum Exhibits"
289,Minidoka National Historic Site,"Guided Tours, Self-Guided Tours - Walking, Junior Ranger Program, Museum Exhibits"
290,Minute Man National Historical Park,"Guided Tours, Hiking, Front-Country Hiking, Living History, Historic Weapons Demonstration, Junior Ranger Program, Shopping, Bookstore and Park Store"
291,Minuteman Missile National Historic Site,"Guided Tours, Junior Ranger Program, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store"
292,Mississippi National River and Recreation Area,"Biking, Mountain Biking, Road Biking, Boating, Compass and GPS, Geocaching, Fishing, Freshwater Fishing, Hiking, Front-Country Hiking, Hunting and Gathering, Hunting, Living History, Reenactments, Historic Weapons Demonstration, First Person Interpretation, Paddling, Canoeing, Kayaking, Junior Ranger Program, Skiing, Cross-Country Skiing, Snow Play, Wildlife Watching, Birdwatching, Museum Exhibits"
293,Missouri National Recreational River,"Auto and ATV, Scenic Driving, Astronomy, Stargazing, Biking, Road Biking, Boating, Camping, Canoe or Kayak Camping, Car or Front Country Camping, Group Camping, RV Camping, Fishing, Freshwater Fishing, Food, Dining, Picnicking, Guided Tours, Self-Guided Tours - Walking, Hands-On, Citizen Science, Hiking, Front-Country Hiking, Hunting and Gathering, Hunting, Living History, Paddling, Canoeing, Canoe or Kayak Camping, Kayaking, Junior Ranger Program, Playground, Skiing, Cross-Country Skiing, Swimming, Pool Swimming, Freshwater Swimming, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs"
294,Mojave National Preserve,"Auto and ATV, Auto Off-Roading, Scenic Driving, Astronomy, Stargazing, Biking, Mountain Biking, Road Biking, Camping, Backcountry Camping, Car or Front Country Camping, Horse Camping (see also Horse/Stock Use), Group Camping, RV Camping, Food, Picnicking, Hiking, Backcountry Hiking, Front-Country Hiking, Off-Trail Permitted Hiking, Horse Trekking, Horse Camping (see also camping), Horseback Riding, Hunting and Gathering, Hunting, Junior Ranger Program, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store"
295,Monocacy National Battlefield,"Guided Tours, Self-Guided Tours - Walking, Self-Guided Tours - Auto, Hiking, Front-Country Hiking, Living History, Historic Weapons Demonstration, First Person Interpretation, Junior Ranger Program, Museum Exhibits, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs"
296,Montezuma Castle National Monument,"Arts and Culture, Astronomy, Camping, Food, Picnicking, Guided Tours, Self-Guided Tours - Walking, Hiking, Junior Ranger Program, Wildlife Watching, Birdwatching, Museum Exhibits, Shopping, Bookstore and Park Store"
297,Moores Creek National Battlefield,"Arts and Culture, Craft Demonstrations, Cultural Demonstrations, Fishing, Guided Tours, Living History, Historic Weapons Demonstration, Paddling, Canoeing, Junior Ranger Program, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store"
298,Mormon Pioneer National Historic Trail,"Auto and ATV, Scenic Driving, Guided Tours, Self-Guided Tours - Auto, Hiking, Horse Trekking, Horseback Riding, Museum Exhibits"
299,Morristown National Historical Park,"Arts and Culture, Craft Demonstrations, Biking, Guided Tours, Self-Guided Tours - Walking, Hiking, Front-Country Hiking, Horse Trekking, Horseback Riding, Living History, Historic Weapons Demonstration, First Person Interpretation, Junior Ranger Program, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs"
300,Mount Rainier National Park,"Auto and ATV, Scenic Driving, Astronomy, Stargazing, Biking, Camping, Backcountry Camping, Car or Front Country Camping, Group Camping, Climbing, Mountain Climbing, Fishing, Freshwater Fishing, Food, Dining, Guided Tours, Self-Guided Tours - Auto, Hands-On, Citizen Science, Hiking, Backcountry Hiking, Front-Country Hiking, Living History, Junior Ranger Program, Skiing, Snow Play, Snowmobiling, Snowshoeing, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store"
301,Mount Rushmore National Memorial,"Food, Dining, Guided Tours, Self-Guided Tours - Walking, Junior Ranger Program, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs"
302,Muir Woods National Monument,"Food, Dining, Guided Tours, Hiking, Junior Ranger Program, Wildlife Watching, Birdwatching, Shopping, Bookstore and Park Store"
303,Natchez National Historical Park,"Guided Tours, Self-Guided Tours - Walking, Museum Exhibits, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs"
304,Natchez Trace National Scenic Trail,"Hiking, Horse Trekking, Horseback Riding"
305,Natchez Trace Parkway,"Auto and ATV, Scenic Driving, Astronomy, Biking, Road Biking, Camping, Car or Front Country Camping, RV Camping, Fishing, Freshwater Fishing, Food, Picnicking, Guided Tours, Self-Guided Tours - Walking, Self-Guided Tours - Auto, Junior Ranger Program, Wildlife Watching, Birdwatching, Shopping, Bookstore and Park Store"
306,National Capital Parks-East,Biking
307,National Mall and Memorial Parks,"Arts and Culture, Cultural Demonstrations, Live Music, Biking, Road Biking, Boating, Fishing, Golfing, Mini-Golfing, Guided Tours, Self-Guided Tours - Walking, Junior Ranger Program, Wildlife Watching, Birdwatching, Museum Exhibits, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs"
308,National Park of American Samoa,"Arts and Culture, Live Music, Hands-On, Volunteer Vacation, Hiking, Backcountry Hiking, Front-Country Hiking, Off-Trail Permitted Hiking, Living History, Historic Weapons Demonstration, First Person Interpretation, SCUBA Diving, Snorkeling, Swimming, Saltwater Swimming, Wildlife Watching, Birdwatching, Museum Exhibits, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs"
